,capacity_kw,provider,pv_system_id
39885,2622.0,pvoutput.org,39885
39920,3003.0,pvoutput.org,39920
39940,5982.0,pvoutput.org,39940
39961,2724.0,pvoutput.org,39961
39983,239.0,pvoutput.org,39983
39985,239.0,pvoutput.org,39985
39986,246.0,pvoutput.org,39986
39987,246.0,pvoutput.org,39987
39988,243.0,pvoutput.org,39988
39989,239.0,pvoutput.org,39989
39990,242.0,pvoutput.org,39990
39991,249.0,pvoutput.org,39991
40057,3410.0,pvoutput.org,40057
40124,3950.0,pvoutput.org,40124
40175,3921.0,pvoutput.org,40175
40193,1161.0,pvoutput.org,40193
40277,2859.0,pvoutput.org,40277
40283,3600.0,pvoutput.org,40283
40332,2886.0,pvoutput.org,40332
4039,4008.0,pvoutput.org,4039
40421,3384.0,pvoutput.org,40421
40444,2937.0,pvoutput.org,40444
40510,2711.0,pvoutput.org,40510
40523,6892.0,pvoutput.org,40523
40561,5306.0,pvoutput.org,40561
40562,3986.0,pvoutput.org,40562
40607,99.0,pvoutput.org,40607
40666,3828.0,pvoutput.org,40666
40680,3184.0,pvoutput.org,40680
40760,3541.0,pvoutput.org,40760
40784,3158.0,pvoutput.org,40784
40792,3696.0,pvoutput.org,40792
40802,3484.0,pvoutput.org,40802
40808,1.0,pvoutput.org,40808
40833,3706.0,pvoutput.org,40833
40842,3797.0,pvoutput.org,40842
40844,83352.0,pvoutput.org,40844
40862,1713.0,pvoutput.org,40862
40864,1585.0,pvoutput.org,40864
40881,6492.0,pvoutput.org,40881
40941,1980.0,pvoutput.org,40941
40943,3937.0,pvoutput.org,40943
40993,3943.0,pvoutput.org,40993
41022,2844.0,pvoutput.org,41022
41025,1452.0,pvoutput.org,41025
4105,4007.0,pvoutput.org,4105
41057,3161.0,pvoutput.org,41057
41064,3217.0,pvoutput.org,41064
41071,3623.0,pvoutput.org,41071
41079,2004.0,pvoutput.org,41079
41087,4027.0,pvoutput.org,41087
4113,5067.0,pvoutput.org,4113
41176,2436.0,pvoutput.org,41176
41223,3641.0,pvoutput.org,41223
41241,2352.0,pvoutput.org,41241
41275,3617.0,pvoutput.org,41275
41333,3617.0,pvoutput.org,41333
4136,3720.0,pvoutput.org,4136
4153,5928.0,pvoutput.org,4153
41545,4198.0,pvoutput.org,41545
41563,3155.0,pvoutput.org,41563
4158,5040.0,pvoutput.org,4158
4160,2808.0,pvoutput.org,4160
41606,2016.0,pvoutput.org,41606
41607,3884.0,pvoutput.org,41607
41620,4080.0,pvoutput.org,41620
41651,3732.0,pvoutput.org,41651
41680,4888.0,pvoutput.org,41680
4170,4864.0,pvoutput.org,4170
41707,4028.0,pvoutput.org,41707
41709,3048.0,pvoutput.org,41709
41721,2856.0,pvoutput.org,41721
41723,2988.0,pvoutput.org,41723
41775,4061.0,pvoutput.org,41775
41795,3947.0,pvoutput.org,41795
41797,3813.0,pvoutput.org,41797
41802,3072.0,pvoutput.org,41802
41820,4011.0,pvoutput.org,41820
41841,6220.0,pvoutput.org,41841
41865,5536.0,pvoutput.org,41865
41873,5733.0,pvoutput.org,41873
41944,3012.0,pvoutput.org,41944
41946,3000.0,pvoutput.org,41946
41956,6000.0,pvoutput.org,41956
4196,3996.0,pvoutput.org,4196
41963,3011.0,pvoutput.org,41963
41970,2544.0,pvoutput.org,41970
41999,3771.0,pvoutput.org,41999
42056,2040.0,pvoutput.org,42056
4206,4931.0,pvoutput.org,4206
42109,4220.0,pvoutput.org,42109
